open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume
2025-05-27 14:00:00,0.7662,0.7677,0.7564,0.7627,8466.2,2025-05-27 14:59:59.999,6440.79948,91,4823.3,3670.17088
2025-05-27 15:00:00,0.763,0.769,0.7607,0.7674,2059.5,2025-05-27 15:59:59.999,1574.2436,40,699.7,534.69858
2025-05-27 16:00:00,0.7675,0.7713,0.7669,0.7688,2602.5,2025-05-27 16:59:59.999,2000.74064,34,688.5,529.00089
2025-05-27 17:00:00,0.769,0.7739,0.768,0.7713,27464.9,2025-05-27 17:59:59.999,21139.59477,71,13293.4,10254.21428
2025-05-27 18:00:00,0.7713,0.7725,0.765,0.765,67346.8,2025-05-27 18:59:59.999,51720.38954,57,2304.5,1768.39049
2025-05-27 19:00:00,0.7649,0.7654,0.7629,0.7645,1403.9,2025-05-27 19:59:59.999,1072.78026,26,936.9,715.9193
2025-05-27 20:00:00,0.7643,0.7668,0.7643,0.7648,4528.4,2025-05-27 20:59:59.999,3462.83681,13,1695.3,1296.09328
2025-05-27 21:00:00,0.7645,0.7653,0.76,0.7608,3933.8,2025-05-27 21:59:59.999,3006.45266,27,369.9,281.7571
2025-05-27 22:00:00,0.7606,0.761,0.7565,0.7587,1388.7,2025-05-27 22:59:59.999,1053.59416,59,843.2,639.6197
2025-05-27 23:00:00,0.7575,0.7587,0.7559,0.758,3589.0,2025-05-27 23:59:59.999,2715.4527,40,2053.9,1553.81909
2025-05-28 00:00:00,0.7575,0.759,0.7534,0.7587,3162.3,2025-05-28 00:59:59.999,2389.60791,45,1069.6,808.5654
2025-05-28 01:00:00,0.7591,0.7603,0.7559,0.7602,14350.6,2025-05-28 01:59:59.999,10862.10885,17,13657.0,10335.60929
2025-05-28 02:00:00,0.7554,0.7559,0.7511,0.7547,2861.8,2025-05-28 02:59:59.999,2152.48129,33,843.8,635.94326
2025-05-28 03:00:00,0.7522,0.7557,0.751,0.7557,2987.4,2025-05-28 03:59:59.999,2247.07224,18,598.5,451.23253
2025-05-28 04:00:00,0.7528,0.7585,0.7514,0.7584,792.2,2025-05-28 04:59:59.999,597.62932,29,629.8,474.71296
2025-05-28 05:00:00,0.7558,0.7558,0.7515,0.7538,352.1,2025-05-28 05:59:59.999,264.94219,22,285.1,214.55899
2025-05-28 06:00:00,0.7522,0.7522,0.7472,0.7472,2399.4,2025-05-28 06:59:59.999,1798.25315,49,1438.3,1078.18425
2025-05-28 07:00:00,0.7475,0.7532,0.7461,0.7532,430.1,2025-05-28 07:59:59.999,321.07624,11,25.2,18.8407
2025-05-28 08:00:00,0.7515,0.7542,0.7505,0.7529,7442.8,2025-05-28 08:59:59.999,5594.02211,18,43.9,32.95656
2025-05-28 09:00:00,0.753,0.754,0.7483,0.7519,965.0,2025-05-28 09:59:59.999,725.36087,15,37.0,27.78219
2025-05-28 10:00:00,0.75,0.7577,0.7497,0.7572,409.5,2025-05-28 10:59:59.999,309.65788,30,32.8,24.72836
2025-05-28 11:00:00,0.7579,0.7598,0.7569,0.7598,2199.1,2025-05-28 11:59:59.999,1667.3364,30,351.9,267.19114
2025-05-28 12:00:00,0.7589,0.7608,0.7582,0.7582,1791.1,2025-05-28 12:59:59.999,1360.14299,16,636.3,483.64559
2025-05-28 13:00:00,0.7575,0.7584,0.7501,0.7501,3989.4,2025-05-28 13:59:59.999,3014.82954,38,497.8,374.68607
2025-05-28 14:00:00,0.7497,0.7504,0.7456,0.7484,19324.4,2025-05-28 14:59:59.999,14436.23422,64,5607.9,4200.4123
2025-05-28 15:00:00,0.7468,0.7468,0.7409,0.7426,57263.1,2025-05-28 15:59:59.999,42605.35517,61,45803.9,34078.43973
2025-05-28 16:00:00,0.7419,0.7469,0.7419,0.7454,1547.4,2025-05-28 16:59:59.999,1153.01092,15,596.7,445.14925
2025-05-28 17:00:00,0.7469,0.7508,0.7438,0.7464,3288.6,2025-05-28 17:59:59.999,2460.91207,41,277.5,206.93585
2025-05-28 18:00:00,0.748,0.7492,0.7409,0.7409,12234.8,2025-05-28 18:59:59.999,9125.43763,40,321.2,238.57509
2025-05-28 19:00:00,0.7424,0.7424,0.7331,0.7332,9150.8,2025-05-28 19:59:59.999,6744.51024,101,4794.7,3528.30639
2025-05-28 20:00:00,0.733,0.7401,0.733,0.7401,5919.2,2025-05-28 20:59:59.999,4357.86756,26,3378.3,2489.22984
2025-05-28 21:00:00,0.7389,0.7433,0.7368,0.7433,20500.1,2025-05-28 21:59:59.999,15154.97426,32,6822.0,5066.29747
2025-05-28 22:00:00,0.7421,0.7423,0.7383,0.7423,132.7,2025-05-28 22:59:59.999,98.13325,9,42.2,31.2155
2025-05-28 23:00:00,0.7408,0.7471,0.7408,0.7463,6653.5,2025-05-28 23:59:59.999,4955.22003,37,346.7,258.49943
2025-05-29 00:00:00,0.7476,0.7565,0.7456,0.7558,3560.4,2025-05-29 00:59:59.999,2679.57976,94,1878.5,1415.39393
2025-05-29 01:00:00,0.7569,0.7574,0.7519,0.7554,15566.5,2025-05-29 01:59:59.999,11750.05796,28,12009.4,9065.58305
2025-05-29 02:00:00,0.7514,0.7639,0.751,0.7639,12242.7,2025-05-29 02:59:59.999,9245.90397,82,4615.4,3494.00162
2025-05-29 03:00:00,0.763,0.763,0.7579,0.7583,1282.0,2025-05-29 03:59:59.999,974.47626,22,672.2,509.90383
2025-05-29 04:00:00,0.7575,0.7575,0.7459,0.7506,3692.7,2025-05-29 04:59:59.999,2768.6338,76,1506.7,1131.49794
2025-05-29 05:00:00,0.7508,0.7523,0.7505,0.7505,42.6,2025-05-29 05:59:59.999,31.99236,3,37.2,27.93966
2025-05-29 06:00:00,0.7497,0.754,0.7488,0.7526,1277.8,2025-05-29 06:59:59.999,960.53492,16,1048.5,788.76466
2025-05-29 07:00:00,0.7516,0.7526,0.7496,0.7511,3380.6,2025-05-29 07:59:59.999,2541.56276,10,3380.6,2541.56276
2025-05-29 08:00:00,0.7505,0.7528,0.7477,0.7528,1083.1,2025-05-29 08:59:59.999,813.0289,16,13.6,10.19214
2025-05-29 09:00:00,0.7514,0.7518,0.7514,0.7518,603.5,2025-05-29 09:59:59.999,453.69367,5,238.8,179.52984
2025-05-29 10:00:00,0.7509,0.7536,0.7506,0.7536,679.8,2025-05-29 10:59:59.999,510.28053,4,677.3,508.40328
2025-05-29 11:00:00,0.7526,0.7557,0.7526,0.7542,411.3,2025-05-29 11:59:59.999,310.04335,20,4.0,3.018
2025-05-29 12:00:00,0.755,0.755,0.7478,0.7504,1263.9,2025-05-29 12:59:59.999,947.08042,20,89.4,67.18694
