symbol,priceChange,priceChangePercent,weightedAvgPrice,prevClosePrice,lastPrice,lastQty,bidPrice,bidQty,askPrice,askQty,openPrice,highPrice,lowPrice,volume,quoteVolume,openTime,closeTime,firstId,lastId,count
BTCUSD4,0.0,0.0,0.0,22882.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-02-12 09:54:21.826,2025-02-13 09:54:21.826,-1,-1,0
ETHUSD4,0.0,0.0,0.0,1626.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-02-12 09:54:21.826,2025-02-13 09:54:21.826,-1,-1,0
XRPUSD,0.0,0.0,0.0,0.297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-02-12 09:54:21.826,2025-02-13 09:54:21.826,-1,-1,0
BCHUSD4,0.0,0.0,0.0,134.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-02-12 09:54:21.826,2025-02-13 09:54:21.826,-1,-1,0
LTCUSD4,0.0,0.0,0.0,96.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-02-12 09:54:21.826,2025-02-13 09:54:21.826,-1,-1,0
USDTUSD4,0.0,0.0,0.0,1.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-02-12 09:54:21.826,2025-02-13 09:54:21.826,-1,-1,0
BTCUSDT,262.45,0.252,103886.6834818,104080.23,104386.01,0.00025,104427.75,0.28069,104499.05,0.01642,104123.56,104982.55,102906.0,19.12467,1986798.5389839,2025-05-30 17:35:57.840,2025-05-31 17:35:57.840,30499604,30501484,1881
ETHUSDT,-7.4,-0.291,2531.41407321,2550.77,2537.6,0.0004,2535.26,11.9711,2537.05,0.0032,2545.0,2589.23,2480.0,341.4086,864246.534756,2025-05-30 17:35:56.839,2025-05-31 17:35:56.839,17727909,17729411,1503
XRPUSDT,0.0209,0.963,2.14302587,2.1713,2.1908,6.4,2.191,185.9,2.1931,23384.6,2.1699,2.2045,2.081,273292.0,585671.82547,2025-05-30 17:35:57.499,2025-05-31 17:35:57.499,1889307,1890355,1049
BCHUSDT,17.2,4.284,401.00520064,399.4,418.7,0.007,418.0,2.88,419.0,0.077,401.5,422.3,391.3,54.724,21944.6086,2025-05-30 17:35:57.480,2025-05-31 17:35:57.480,1923051,1923251,201
LTCUSDT,0.19,0.217,85.79094259,87.46,87.81,34.164,87.04,0.825,87.64,19.941,87.62,88.95,83.3,687.223,58957.50894,2025-05-30 17:35:56.777,2025-05-31 17:35:56.777,4211853,4212388,536
BNBUSD4,0.0,0.0,0.0,325.6257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-02-12 09:54:21.826,2025-02-13 09:54:21.826,-1,-1,0
BNBUSDT,-4.65,-0.703,655.2188847,660.98,657.0,0.005,656.23,0.099,656.99,1.3,661.65,666.62,646.0,86.201,56480.52308,2025-05-30 17:35:58.193,2025-05-31 17:35:58.193,6189337,6189946,610
ETHBTC,-0.00038,-1.552,0.0242537,0.02463,0.02411,0.006,0.0242,1.0851,0.0243,1.0909,0.02449,0.02464,0.02393,9.8552,0.23902503,2025-05-30 17:35:55.376,2025-05-31 17:35:55.376,5739039,5739153,115
XRPBTC,0.0,0.0,0.0,8.64e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-02-12 09:54:21.826,2025-02-13 09:54:21.826,-1,-1,0
BNBBTC,-1.5e-05,-0.238,0.006286,0.00637,0.006292,0.13,0.006253,0.138,0.006293,3.185,0.006307,0.006351,0.006205,6.976,0.04385116,2025-05-30 17:34:09.528,2025-05-31 17:34:09.528,2994547,2994575,29
LTCBTC,1.5e-05,1.693,0.00089458,0.000887,0.000901,0.236,0.0,0.0,0.0,0.0,0.000886,0.000905,0.000886,153.145,0.13700053,2025-05-22 01:28:43.094,2025-05-23 01:28:43.094,1553158,1553223,66
BCHBTC,0.0,0.0,0.0,0.00422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-02-12 09:54:21.826,2025-02-13 09:54:21.826,-1,-1,0
ADAUSD4,0.0,0.0,0.0,0.392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-02-12 09:54:21.826,2025-02-13 09:54:21.826,-1,-1,0
BATUSD4,0.0,0.0,0.0,0.2843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-02-12 09:54:21.826,2025-02-13 09:54:21.826,-1,-1,0
ETCUSD4,0.0,0.0,0.0,22.7276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-02-12 09:54:21.826,2025-02-13 09:54:21.826,-1,-1,0
XLMUSD4,0.0,0.0,0.0,0.091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-02-12 09:54:21.826,2025-02-13 09:54:21.826,-1,-1,0
ZRXUSD4,0.0,0.0,0.0,0.2525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-02-12 09:54:21.826,2025-02-13 09:54:21.826,-1,-1,0
ADAUSDT,-0.0111,-1.593,0.68546349,0.6953,0.6857,4.4,0.6846,335.8,0.6855,1841.9,0.6968,0.7144,0.6583,473444.7,324529.05691,2025-05-30 17:35:44.082,2025-05-31 17:35:44.082,9433043,9434189,1147
BATUSDT,0.0024,1.882,0.12741207,0.1298,0.1299,8.0,0.1283,8273.0,0.1315,29.0,0.1275,0.13,0.1227,7744.0,986.6791,2025-05-30 17:35:45.590,2025-05-31 17:35:45.590,1349351,1349430,80
ETCUSDT,-0.58,-3.299,16.70761675,17.18,17.0,0.47,16.93,192.18,17.33,38.18,17.58,17.58,16.44,180.09,3008.8747,2025-05-30 17:35:56.528,2025-05-31 17:35:56.528,2399601,2399717,117
XLMUSDT,-0.003,-1.111,0.26312,0.2688,0.267,30.0,0.2669,1109.0,0.2673,13228.0,0.27,0.2732,0.2595,101878.0,26806.1396,2025-05-30 17:35:50.820,2025-05-31 17:35:50.820,3009461,3009760,300
ZRXUSDT,0.0035,1.516,0.23210892,0.2312,0.2344,3207.0,0.226,9625.0,0.2364,13415.0,0.2309,0.2417,0.2246,4832.0,1121.5503,2025-05-30 17:35:55.332,2025-05-31 17:35:55.332,1003600,1003638,39
LINKUSD4,0.0,0.0,0.0,6.9647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-02-12 09:54:21.826,2025-02-13 09:54:21.826,-1,-1,0
RVNUSD4,0.0,0.0,0.0,0.0295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-02-12 09:54:21.826,2025-02-13 09:54:21.826,-1,-1,0
DASHUSD4,0.0,0.0,0.0,60.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-02-12 09:54:21.826,2025-02-13 09:54:21.826,-1,-1,0
ZECUSD4,0.0,0.0,0.0,43.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-02-12 09:54:21.826,2025-02-13 09:54:21.826,-1,-1,0
ALGOUSD4,0.0,0.0,0.0,0.258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-02-12 09:54:21.826,2025-02-13 09:54:21.826,-1,-1,0
IOTAUSD4,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-02-12 09:54:21.826,2025-02-13 09:54:21.826,-1,-1,0
BUSDUSD4,0.0,0.0,0.0,1.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-02-12 09:54:21.826,2025-02-13 09:54:21.826,-1,-1,0
BTCBUSD,0.0,0.0,0.0,44287.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-02-12 09:54:21.826,2025-02-13 09:54:21.826,-1,-1,0
DOGEUSDT,-0.005,-2.533,0.19133553,0.19688,0.19242,353.0,0.1923,1034.0,0.19259,1112.0,0.19742,0.20104,0.18571,1147948.0,219643.24384,2025-05-30 17:35:57.274,2025-05-31 17:35:57.274,12779176,12780020,845
WAVESUSD4,0.0,0.0,0.0,2.6353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-02-12 09:54:21.826,2025-02-13 09:54:21.826,-1,-1,0
ATOMUSDT,-0.063,-1.434,4.27348977,4.356,4.331,0.69,4.299,190.13,4.33,275.16,4.394,4.432,4.184,1030.37,4403.27565,2025-05-30 17:35:57.829,2025-05-31 17:35:57.829,5005603,5005705,103
ATOMUSD4,0.0,0.0,0.0,14.428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-02-12 09:54:21.826,2025-02-13 09:54:21.826,-1,-1,0
NEOUSDT,-0.18,-2.961,5.93074093,5.98,5.9,0.24,5.84,72.13,5.92,134.21,6.08,6.14,5.57,553.63,3283.4361,2025-05-30 17:35:53.032,2025-05-31 17:35:53.032,1218024,1218084,61
NEOUSD4,0.0,0.0,0.0,8.772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-02-12 09:54:21.826,2025-02-13 09:54:21.826,-1,-1,0
VETUSDT,-0.00037,-1.503,0.02415184,0.02424,0.02424,865.3,0.02422,2067.4,0.02424,3116.5,0.02461,0.02488,0.02318,5593290.3,135088.24772,2025-05-30 17:35:38.343,2025-05-31 17:35:38.343,6121593,6121845,253
QTUMUSDT,-0.029,-1.441,1.98433036,2.012,1.983,5.5,1.915,165.0,2.013,232.2,2.012,2.12,1.9,762.5,1513.0519,2025-05-30 17:35:41.430,2025-05-31 17:35:41.430,891856,891871,16
