open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume
2025-05-01 00:00:00,367.4,369.3,367.1,367.9,1.424,2025-05-01 00:59:59.999,524.5247,59,0.09,33.1335
2025-05-01 01:00:00,367.9,367.9,367.9,367.9,0.0,2025-05-01 01:59:59.999,0.0,0,0.0,0.0
2025-05-01 02:00:00,367.9,367.9,367.9,367.9,0.0,2025-05-01 02:59:59.999,0.0,0,0.0,0.0
2025-05-01 03:00:00,368.1,368.1,368.1,368.1,0.017,2025-05-01 03:59:59.999,6.2577,1,0.017,6.2577
2025-05-01 04:00:00,367.6,367.6,367.6,367.6,0.084,2025-05-01 04:59:59.999,30.8784,1,0.084,30.8784
2025-05-01 05:00:00,369.2,369.2,369.2,369.2,0.016,2025-05-01 05:59:59.999,5.9072,1,0.016,5.9072
2025-05-01 06:00:00,369.2,369.2,369.2,369.2,0.0,2025-05-01 06:59:59.999,0.0,0,0.0,0.0
2025-05-01 07:00:00,366.8,366.8,366.8,366.8,0.008,2025-05-01 07:59:59.999,2.9344,1,0.008,2.9344
2025-05-01 08:00:00,365.4,365.4,365.4,365.4,0.013,2025-05-01 08:59:59.999,4.7502,1,0.013,4.7502
2025-05-01 09:00:00,364.9,364.9,364.9,364.9,0.147,2025-05-01 09:59:59.999,53.6403,1,0.0,0.0
2025-05-01 10:00:00,370.5,372.1,370.5,371.3,2.084,2025-05-01 10:59:59.999,773.8692,3,2.072,769.4136
2025-05-01 11:00:00,369.9,369.9,369.9,369.9,0.098,2025-05-01 11:59:59.999,36.2502,1,0.0,0.0
2025-05-01 12:00:00,371.3,371.3,371.3,371.3,0.097,2025-05-01 12:59:59.999,36.0161,1,0.0,0.0
2025-05-01 13:00:00,370.3,370.3,370.3,370.3,1.067,2025-05-01 13:59:59.999,395.1101,1,0.0,0.0
2025-05-01 14:00:00,372.1,372.1,372.1,372.1,0.024,2025-05-01 14:59:59.999,8.9304,1,0.024,8.9304
2025-05-01 15:00:00,375.3,375.3,367.7,367.7,5.086,2025-05-01 15:59:59.999,1874.1686,6,1.69,624.1418
2025-05-01 16:00:00,366.6,369.8,363.6,369.8,0.222,2025-05-01 16:59:59.999,81.7014,4,0.11,40.3644
2025-05-01 17:00:00,363.4,363.4,363.4,363.4,0.146,2025-05-01 17:59:59.999,53.0564,1,0.0,0.0
2025-05-01 18:00:00,363.2,364.1,363.2,364.1,0.223,2025-05-01 18:59:59.999,81.0692,2,0.084,30.5844
2025-05-01 19:00:00,363.3,363.3,362.6,362.6,3.257,2025-05-01 19:59:59.999,1183.0034,6,0.044,15.9544
2025-05-01 20:00:00,363.1,367.5,363.1,367.5,0.016,2025-05-01 20:59:59.999,5.8448,2,0.016,5.8448
2025-05-01 21:00:00,364.2,364.2,364.2,364.2,0.008,2025-05-01 21:59:59.999,2.9136,1,0.008,2.9136
2025-05-01 22:00:00,364.4,364.4,364.4,364.4,0.008,2025-05-01 22:59:59.999,2.9152,1,0.008,2.9152
2025-05-01 23:00:00,361.1,361.8,361.1,361.8,0.069,2025-05-01 23:59:59.999,24.9334,2,0.025,9.045
2025-05-02 00:00:00,360.5,368.4,360.2,364.1,0.995,2025-05-02 00:59:59.999,362.0166,56,0.995,362.0166
2025-05-02 01:00:00,363.1,367.6,360.3,367.6,2.874,2025-05-02 01:59:59.999,1040.6194,6,0.894,325.5014
2025-05-02 02:00:00,366.8,369.7,366.3,369.7,5.966,2025-05-02 02:59:59.999,2201.3697,7,5.959,2198.8021
2025-05-02 03:00:00,367.8,367.8,367.8,367.8,0.629,2025-05-02 03:59:59.999,231.3462,1,0.0,0.0
2025-05-02 04:00:00,368.5,368.5,368.5,368.5,0.074,2025-05-02 04:59:59.999,27.269,1,0.074,27.269
2025-05-02 05:00:00,368.5,368.5,368.5,368.5,0.0,2025-05-02 05:59:59.999,0.0,0,0.0,0.0
2025-05-02 06:00:00,370.3,370.3,370.3,370.3,0.007,2025-05-02 06:59:59.999,2.5921,1,0.007,2.5921
2025-05-02 07:00:00,369.2,369.2,369.2,369.2,0.008,2025-05-02 07:59:59.999,2.9536,1,0.008,2.9536
2025-05-02 08:00:00,372.2,372.2,372.2,372.2,0.051,2025-05-02 08:59:59.999,18.9822,1,0.051,18.9822
2025-05-02 09:00:00,369.8,369.8,367.4,367.4,0.028,2025-05-02 09:59:59.999,10.3232,2,0.015,5.547
2025-05-02 10:00:00,367.7,369.1,367.7,369.1,1.114,2025-05-02 10:59:59.999,411.0976,2,1.057,390.1387
2025-05-02 11:00:00,368.3,368.3,368.3,368.3,0.031,2025-05-02 11:59:59.999,11.4173,1,0.0,0.0
2025-05-02 12:00:00,368.3,368.3,368.3,368.3,0.0,2025-05-02 12:59:59.999,0.0,0,0.0,0.0
2025-05-02 13:00:00,370.6,370.6,370.6,370.6,0.009,2025-05-02 13:59:59.999,3.3354,1,0.009,3.3354
2025-05-02 14:00:00,377.6,385.3,377.6,385.3,18.081,2025-05-02 14:59:59.999,6883.0227,16,17.965,6838.7261
2025-05-02 15:00:00,385.5,386.0,380.4,380.4,2.637,2025-05-02 15:59:59.999,1007.625,7,2.524,964.6398
2025-05-02 16:00:00,380.4,380.4,380.4,380.4,0.0,2025-05-02 16:59:59.999,0.0,0,0.0,0.0
2025-05-02 17:00:00,379.2,381.8,379.2,381.8,1.531,2025-05-02 17:59:59.999,584.3019,4,1.48,564.9627
2025-05-02 18:00:00,385.2,385.2,378.2,378.2,2.44,2025-05-02 18:59:59.999,926.231,3,0.489,188.3628
2025-05-02 19:00:00,380.6,380.6,380.6,380.6,0.074,2025-05-02 19:59:59.999,28.1644,1,0.074,28.1644
2025-05-02 20:00:00,380.4,380.4,378.1,379.1,0.051,2025-05-02 20:59:59.999,19.3683,4,0.044,16.7216
2025-05-02 21:00:00,379.1,379.1,379.1,379.1,0.0,2025-05-02 21:59:59.999,0.0,0,0.0,0.0
2025-05-02 22:00:00,383.6,383.6,378.9,378.9,0.196,2025-05-02 22:59:59.999,75.0869,2,0.175,67.13
2025-05-02 23:00:00,378.9,378.9,378.9,378.9,0.263,2025-05-02 23:59:59.999,99.6507,1,0.263,99.6507
2025-05-03 00:00:00,382.0,382.3,371.1,371.1,2.778,2025-05-03 00:59:59.999,1052.2751,52,0.0,0.0
2025-05-03 01:00:00,374.6,384.0,369.5,382.0,5.255,2025-05-03 01:59:59.999,1942.2524,6,0.047,17.8964
2025-05-03 02:00:00,366.7,374.8,366.7,367.6,0.09,2025-05-03 02:59:59.999,33.2276,4,0.024,8.9952
2025-05-03 03:00:00,369.8,369.8,369.7,369.7,0.154,2025-05-03 03:59:59.999,56.9426,2,0.154,56.9426
2025-05-03 04:00:00,372.4,372.4,372.4,372.4,0.08,2025-05-03 04:59:59.999,29.792,1,0.08,29.792
2025-05-03 05:00:00,372.4,372.4,372.4,372.4,0.0,2025-05-03 05:59:59.999,0.0,0,0.0,0.0
2025-05-03 06:00:00,372.4,372.4,372.4,372.4,0.0,2025-05-03 06:59:59.999,0.0,0,0.0,0.0
2025-05-03 07:00:00,378.5,378.5,378.5,378.5,0.025,2025-05-03 07:59:59.999,9.4625,1,0.025,9.4625
2025-05-03 08:00:00,378.5,378.5,378.5,378.5,0.0,2025-05-03 08:59:59.999,0.0,0,0.0,0.0
2025-05-03 09:00:00,382.4,382.4,382.4,382.4,0.041,2025-05-03 09:59:59.999,15.6784,1,0.041,15.6784
2025-05-03 10:00:00,382.4,382.4,382.4,382.4,0.0,2025-05-03 10:59:59.999,0.0,0,0.0,0.0
2025-05-03 11:00:00,366.7,366.7,366.7,366.7,5.454,2025-05-03 11:59:59.999,1999.9818,2,0.0,0.0
2025-05-03 12:00:00,366.3,367.8,366.3,367.8,0.27,2025-05-03 12:59:59.999,99.027,2,0.084,30.8952
2025-05-03 13:00:00,369.9,369.9,369.9,369.9,0.056,2025-05-03 13:59:59.999,20.7144,1,0.056,20.7144
2025-05-03 14:00:00,365.5,369.8,364.6,369.8,0.27,2025-05-03 14:59:59.999,98.7827,4,0.033,12.1682
2025-05-03 15:00:00,378.2,378.2,378.2,378.2,0.029,2025-05-03 15:59:59.999,10.9678,1,0.029,10.9678
2025-05-03 16:00:00,378.2,378.2,378.2,378.2,0.0,2025-05-03 16:59:59.999,0.0,0,0.0,0.0
2025-05-03 17:00:00,363.6,363.8,363.6,363.8,0.62,2025-05-03 17:59:59.999,225.4816,10,0.0,0.0
2025-05-03 18:00:00,363.8,363.8,363.8,363.8,0.0,2025-05-03 18:59:59.999,0.0,0,0.0,0.0
2025-05-03 19:00:00,364.3,364.3,364.3,364.3,0.233,2025-05-03 19:59:59.999,84.8819,1,0.0,0.0
2025-05-03 20:00:00,364.3,364.3,364.3,364.3,0.0,2025-05-03 20:59:59.999,0.0,0,0.0,0.0
2025-05-03 21:00:00,365.5,365.5,365.5,365.5,0.026,2025-05-03 21:59:59.999,9.503,1,0.026,9.503
2025-05-03 22:00:00,365.5,365.5,365.5,365.5,0.0,2025-05-03 22:59:59.999,0.0,0,0.0,0.0
2025-05-03 23:00:00,363.0,363.0,361.9,361.9,0.084,2025-05-03 23:59:59.999,30.4821,2,0.075,27.225
2025-05-04 00:00:00,361.2,362.3,359.2,361.7,0.405,2025-05-04 00:59:59.999,146.2197,31,0.146,52.7868
