open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume
2025-05-01 00:00:00,4.077,4.077,4.077,4.077,0.0,2025-05-01 00:59:59.999,0.0,0,0.0,0.0
2025-05-01 01:00:00,4.12,4.12,4.12,4.12,2.45,2025-05-01 01:59:59.999,10.094,1,2.45,10.094
2025-05-01 02:00:00,4.117,4.117,4.107,4.107,30.24,2025-05-01 02:59:59.999,124.43798,3,24.5,100.8638
2025-05-01 03:00:00,4.113,4.113,4.087,4.087,18.52,2025-05-01 03:59:59.999,75.73076,2,1.52,6.25176
2025-05-01 04:00:00,4.087,4.132,4.073,4.132,32.68,2025-05-01 04:59:59.999,133.5906,5,11.26,46.30662
2025-05-01 05:00:00,4.091,4.091,4.091,4.091,72.97,2025-05-01 05:59:59.999,298.52027,1,0.0,0.0
2025-05-01 06:00:00,4.093,4.093,4.093,4.093,0.37,2025-05-01 06:59:59.999,1.51441,1,0.0,0.0
2025-05-01 07:00:00,4.124,4.124,4.124,4.124,14.5,2025-05-01 07:59:59.999,59.798,1,14.5,59.798
2025-05-01 08:00:00,4.14,4.142,4.14,4.142,9.87,2025-05-01 08:59:59.999,40.87913,3,9.87,40.87913
2025-05-01 09:00:00,4.148,4.15,4.148,4.15,4292.32,2025-05-01 09:59:59.999,17813.10997,9,4292.32,17813.10997
2025-05-01 10:00:00,4.15,4.178,4.107,4.174,4617.84,2025-05-01 10:59:59.999,19163.95742,21,4546.41,18867.84778
2025-05-01 11:00:00,4.186,4.186,4.186,4.186,1.34,2025-05-01 11:59:59.999,5.60924,1,1.34,5.60924
2025-05-01 12:00:00,4.157,4.165,4.156,4.165,167.08,2025-05-01 12:59:59.999,695.8175,3,0.0,0.0
2025-05-01 13:00:00,4.189,4.189,4.146,4.146,27.41,2025-05-01 13:59:59.999,114.6644,3,23.78,99.61442
2025-05-01 14:00:00,4.144,4.146,4.144,4.146,3.78,2025-05-01 14:59:59.999,15.66962,2,3.78,15.66962
