open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume
2025-06-03 02:00:00,90.23,90.23,89.85,89.85,10.834,2025-06-03 02:59:59.999,976.22336,26,8.127,732.12541
2025-06-03 03:00:00,89.61,89.74,89.47,89.69,2.446,2025-06-03 03:59:59.999,219.20803,8,1.87,167.64993
2025-06-03 04:00:00,89.62,89.62,88.47,89.17,17.896,2025-06-03 04:59:59.999,1592.85282,25,4.179,373.11289
2025-06-03 05:00:00,89.42,89.73,89.13,89.73,11.935,2025-06-03 05:59:59.999,1065.70402,12,4.132,370.16797
2025-06-03 06:00:00,89.69,89.8,89.35,89.8,3.603,2025-06-03 06:59:59.999,322.96041,8,3.541,317.42071
2025-06-03 07:00:00,89.72,89.72,89.55,89.55,0.537,2025-06-03 07:59:59.999,48.12269,2,0.335,29.99925
2025-06-03 08:00:00,89.55,89.55,89.55,89.55,0.0,2025-06-03 08:59:59.999,0.0,0,0.0,0.0
2025-06-03 09:00:00,89.3,89.71,89.27,89.71,5.155,2025-06-03 09:59:59.999,460.63288,4,0.899,80.64929
2025-06-03 10:00:00,89.35,89.35,89.22,89.22,2.353,2025-06-03 10:59:59.999,210.0549,3,0.0,0.0
2025-06-03 11:00:00,89.05,89.05,88.91,88.91,1.015,2025-06-03 11:59:59.999,90.32933,3,0.399,35.53095
2025-06-03 12:00:00,88.77,89.01,88.77,88.84,14.065,2025-06-03 12:59:59.999,1249.91621,8,1.347,119.77972
2025-06-03 13:00:00,88.86,89.54,88.86,89.32,6.319,2025-06-03 13:59:59.999,564.45249,11,4.394,392.70887
2025-06-03 14:00:00,89.45,90.08,88.91,90.06,50.849,2025-06-03 14:59:59.999,4537.96658,11,2.516,226.23852
2025-06-03 15:00:00,90.08,90.14,89.68,89.68,8.043,2025-06-03 15:59:59.999,724.54553,7,8.005,721.13769
2025-06-03 16:00:00,90.03,90.11,89.5,89.79,15.251,2025-06-03 16:59:59.999,1371.96381,9,13.768,1238.91254
2025-06-03 17:00:00,89.9,89.97,85.39,89.97,94.356,2025-06-03 17:59:59.999,8373.47409,141,29.704,2666.30603
2025-06-03 18:00:00,89.63,90.06,89.06,90.06,23.24,2025-06-03 18:59:59.999,2087.05338,17,8.081,726.66116
2025-06-03 19:00:00,90.14,90.47,90.14,90.36,5.207,2025-06-03 19:59:59.999,470.531,14,4.967,448.8722
2025-06-03 20:00:00,90.28,90.28,89.61,90.0,9.244,2025-06-03 20:59:59.999,832.69831,11,7.16,645.7554
2025-06-03 21:00:00,89.89,89.9,88.94,88.94,7.193,2025-06-03 21:59:59.999,643.98843,17,1.289,115.85915
2025-06-03 22:00:00,89.38,89.66,89.29,89.66,1.629,2025-06-03 22:59:59.999,145.92578,4,1.529,136.99634
2025-06-03 23:00:00,89.74,89.74,89.29,89.29,9.941,2025-06-03 23:59:59.999,890.36776,11,9.241,827.78699
2025-06-04 00:00:00,89.58,90.33,89.58,90.33,5.594,2025-06-04 00:59:59.999,503.18225,25,4.301,387.16188
2025-06-04 01:00:00,90.47,90.57,90.17,90.17,63.302,2025-06-04 01:59:59.999,5729.60322,16,61.043,5525.88007
2025-06-04 02:00:00,90.61,90.75,90.08,90.12,35.849,2025-06-04 02:59:59.999,3238.17434,23,19.654,1775.44728
2025-06-04 03:00:00,90.26,90.61,90.26,90.61,3.921,2025-06-04 03:59:59.999,354.60286,9,3.468,313.69696
2025-06-04 04:00:00,90.55,90.82,90.44,90.82,14.921,2025-06-04 04:59:59.999,1351.27248,5,6.099,553.4108
2025-06-04 05:00:00,90.55,90.71,90.24,90.53,4.003,2025-06-04 05:59:59.999,361.75663,7,3.269,295.39585
2025-06-04 06:00:00,89.92,90.12,89.92,90.12,2.75,2025-06-04 06:59:59.999,247.66473,6,1.702,153.38424
2025-06-04 07:00:00,90.12,90.12,90.12,90.12,0.0,2025-06-04 07:59:59.999,0.0,0,0.0,0.0
2025-06-04 08:00:00,90.12,90.12,90.12,90.12,0.0,2025-06-04 08:59:59.999,0.0,0,0.0,0.0
2025-06-04 09:00:00,90.19,90.19,90.19,90.19,0.165,2025-06-04 09:59:59.999,14.88135,1,0.0,0.0
2025-06-04 10:00:00,90.9,90.98,90.6,90.75,2.793,2025-06-04 10:59:59.999,253.73118,9,2.683,243.76518
2025-06-04 11:00:00,90.33,90.47,90.2,90.2,3.839,2025-06-04 11:59:59.999,347.10132,5,3.516,317.92707
2025-06-04 12:00:00,90.1,90.1,89.77,89.99,3.564,2025-06-04 12:59:59.999,320.76459,8,0.389,34.95607
2025-06-04 13:00:00,89.87,89.94,89.81,89.94,0.481,2025-06-04 13:59:59.999,43.23001,4,0.148,13.30996
2025-06-04 14:00:00,89.73,89.84,89.39,89.84,2.73,2025-06-04 14:59:59.999,244.88178,8,1.144,102.76981
2025-06-04 15:00:00,90.08,90.23,90.03,90.13,51.406,2025-06-04 15:59:59.999,4630.06506,13,4.929,444.50822
2025-06-04 16:00:00,89.86,89.94,89.72,89.72,21.146,2025-06-04 16:59:59.999,1899.7003,7,10.507,943.67976
2025-06-04 17:00:00,89.43,89.43,88.9,89.11,2.663,2025-06-04 17:59:59.999,237.38189,17,0.909,81.02368
2025-06-04 18:00:00,89.27,89.38,89.15,89.15,8.56,2025-06-04 18:59:59.999,763.51225,7,2.167,193.55673
2025-06-04 19:00:00,89.38,89.38,89.38,89.38,1.475,2025-06-04 19:59:59.999,131.8355,1,1.475,131.8355
2025-06-04 20:00:00,88.93,88.93,87.97,88.05,27.681,2025-06-04 20:59:59.999,2443.86289,29,12.144,1072.20143
2025-06-04 21:00:00,87.98,88.56,87.5,88.56,69.528,2025-06-04 21:59:59.999,6111.95547,35,11.409,1005.59029
2025-06-04 22:00:00,88.07,88.2,87.73,87.73,11.859,2025-06-04 22:59:59.999,1044.1646,5,0.519,45.5868
2025-06-04 23:00:00,87.82,88.14,87.82,88.14,2.156,2025-06-04 23:59:59.999,189.44104,2,2.156,189.44104
