open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume
2025-05-01 00:00:00,5.296,5.327,5.292,5.327,15.89,2025-05-01 00:59:59.999,84.32341,4,11.22,59.60977
2025-05-01 01:00:00,5.306,5.306,5.306,5.306,25.3,2025-05-01 01:59:59.999,134.2418,2,0.0,0.0
2025-05-01 02:00:00,5.306,5.306,5.306,5.306,0.0,2025-05-01 02:59:59.999,0.0,0,0.0,0.0
2025-05-01 03:00:00,5.306,5.306,5.306,5.306,0.0,2025-05-01 03:59:59.999,0.0,0,0.0,0.0
2025-05-01 04:00:00,5.25,5.253,5.241,5.253,137.87,2025-05-01 04:59:59.999,723.79464,3,3.81,20.01393
2025-05-01 05:00:00,5.253,5.253,5.253,5.253,0.0,2025-05-01 05:59:59.999,0.0,0,0.0,0.0
2025-05-01 06:00:00,5.253,5.253,5.253,5.253,0.0,2025-05-01 06:59:59.999,0.0,0,0.0,0.0
2025-05-01 07:00:00,5.248,5.251,5.248,5.25,114.21,2025-05-01 07:59:59.999,599.63714,3,114.21,599.63714
2025-05-01 08:00:00,5.25,5.25,5.25,5.25,0.0,2025-05-01 08:59:59.999,0.0,0,0.0,0.0
2025-05-01 09:00:00,5.293,5.293,5.293,5.293,3.9,2025-05-01 09:59:59.999,20.6427,1,0.0,0.0
2025-05-01 10:00:00,5.321,5.373,5.321,5.373,137.06,2025-05-01 10:59:59.999,731.77014,6,137.06,731.77014
2025-05-01 11:00:00,5.34,5.34,5.34,5.34,1.93,2025-05-01 11:59:59.999,10.3062,1,0.0,0.0
2025-05-01 12:00:00,5.36,5.397,5.36,5.397,192.3,2025-05-01 12:59:59.999,1032.77857,5,192.3,1032.77857
2025-05-01 13:00:00,5.346,5.346,5.315,5.319,215.84,2025-05-01 13:59:59.999,1149.87976,4,5.95,31.64805
2025-05-01 14:00:00,5.335,5.395,5.335,5.395,8.72,2025-05-01 14:59:59.999,46.6886,2,2.79,15.05205
2025-05-01 15:00:00,5.402,5.418,5.385,5.385,25.64,2025-05-01 15:59:59.999,138.58819,5,16.3,88.12225
2025-05-01 16:00:00,5.377,5.377,5.318,5.368,21.35,2025-05-01 16:59:59.999,114.45041,3,8.44,45.30592
2025-05-01 17:00:00,5.417,5.417,5.417,5.417,20.0,2025-05-01 17:59:59.999,108.34,1,20.0,108.34
2025-05-01 18:00:00,5.399,5.428,5.385,5.385,780.75,2025-05-01 18:59:59.999,4216.61113,5,780.53,4215.42621
2025-05-01 19:00:00,5.375,5.375,5.371,5.371,13.74,2025-05-01 19:59:59.999,73.82346,2,7.26,38.99346
2025-05-01 20:00:00,5.371,5.371,5.371,5.371,0.0,2025-05-01 20:59:59.999,0.0,0,0.0,0.0
2025-05-01 21:00:00,5.371,5.371,5.371,5.371,0.0,2025-05-01 21:59:59.999,0.0,0,0.0,0.0
2025-05-01 22:00:00,5.371,5.371,5.371,5.371,0.0,2025-05-01 22:59:59.999,0.0,0,0.0,0.0
2025-05-01 23:00:00,5.308,5.308,5.308,5.308,5.66,2025-05-01 23:59:59.999,30.04328,1,0.0,0.0
2025-05-02 00:00:00,5.305,5.305,5.305,5.305,10.48,2025-05-02 00:59:59.999,55.5964,1,0.0,0.0
2025-05-02 01:00:00,5.305,5.305,5.305,5.305,0.0,2025-05-02 01:59:59.999,0.0,0,0.0,0.0
2025-05-02 02:00:00,5.305,5.305,5.305,5.305,0.0,2025-05-02 02:59:59.999,0.0,0,0.0,0.0
2025-05-02 03:00:00,5.305,5.305,5.305,5.305,0.0,2025-05-02 03:59:59.999,0.0,0,0.0,0.0
2025-05-02 04:00:00,5.313,5.313,5.3,5.3,29.92,2025-05-02 04:59:59.999,158.83496,2,0.0,0.0
2025-05-02 05:00:00,5.276,5.276,5.276,5.276,3.25,2025-05-02 05:59:59.999,17.147,1,0.0,0.0
2025-05-02 06:00:00,5.312,5.312,5.312,5.312,7.35,2025-05-02 06:59:59.999,39.0432,1,7.35,39.0432
2025-05-02 07:00:00,5.312,5.312,5.312,5.312,0.0,2025-05-02 07:59:59.999,0.0,0,0.0,0.0
2025-05-02 08:00:00,5.312,5.312,5.312,5.312,0.0,2025-05-02 08:59:59.999,0.0,0,0.0,0.0
2025-05-02 09:00:00,5.312,5.312,5.312,5.312,0.0,2025-05-02 09:59:59.999,0.0,0,0.0,0.0
2025-05-02 10:00:00,5.312,5.312,5.312,5.312,0.0,2025-05-02 10:59:59.999,0.0,0,0.0,0.0
2025-05-02 11:00:00,5.253,5.253,5.253,5.253,13.18,2025-05-02 11:59:59.999,69.23454,1,0.0,0.0
2025-05-02 12:00:00,5.347,5.347,5.264,5.264,9.0,2025-05-02 12:59:59.999,47.55362,2,2.14,11.44258
2025-05-02 13:00:00,5.266,5.266,5.251,5.251,43.31,2025-05-02 13:59:59.999,227.99672,3,38.51,202.79192
2025-05-02 14:00:00,5.29,5.29,5.29,5.29,9.69,2025-05-02 14:59:59.999,51.2601,1,9.69,51.2601
2025-05-02 15:00:00,5.29,5.29,5.29,5.29,0.0,2025-05-02 15:59:59.999,0.0,0,0.0,0.0
2025-05-02 16:00:00,5.325,5.325,5.325,5.325,0.58,2025-05-02 16:59:59.999,3.0885,1,0.58,3.0885
2025-05-02 17:00:00,5.325,5.325,5.325,5.325,0.0,2025-05-02 17:59:59.999,0.0,0,0.0,0.0
2025-05-02 18:00:00,5.325,5.325,5.325,5.325,0.0,2025-05-02 18:59:59.999,0.0,0,0.0,0.0
2025-05-02 19:00:00,5.219,5.219,5.2,5.2,276.63,2025-05-02 19:59:59.999,1443.58035,4,0.0,0.0
2025-05-02 20:00:00,5.2,5.2,5.2,5.2,0.0,2025-05-02 20:59:59.999,0.0,0,0.0,0.0
2025-05-02 21:00:00,5.225,5.225,5.225,5.225,8.97,2025-05-02 21:59:59.999,46.86825,1,0.0,0.0
2025-05-02 22:00:00,5.225,5.225,5.225,5.225,0.0,2025-05-02 22:59:59.999,0.0,0,0.0,0.0
2025-05-02 23:00:00,5.225,5.225,5.225,5.225,0.0,2025-05-02 23:59:59.999,0.0,0,0.0,0.0
2025-05-03 00:00:00,5.225,5.225,5.225,5.225,0.0,2025-05-03 00:59:59.999,0.0,0,0.0,0.0
2025-05-03 01:00:00,5.204,5.204,5.176,5.176,58.27,2025-05-03 01:59:59.999,302.06349,6,0.0,0.0
2025-05-03 02:00:00,5.182,5.209,5.182,5.209,103.99,2025-05-03 02:59:59.999,539.08172,4,7.9,41.14334
2025-05-03 03:00:00,5.209,5.209,5.209,5.209,0.0,2025-05-03 03:59:59.999,0.0,0,0.0,0.0
2025-05-03 04:00:00,5.209,5.209,5.209,5.209,0.0,2025-05-03 04:59:59.999,0.0,0,0.0,0.0
2025-05-03 05:00:00,5.209,5.209,5.209,5.209,0.0,2025-05-03 05:59:59.999,0.0,0,0.0,0.0
2025-05-03 06:00:00,5.18,5.18,5.18,5.18,1.93,2025-05-03 06:59:59.999,9.9974,1,0.0,0.0
2025-05-03 07:00:00,5.18,5.18,5.18,5.18,0.0,2025-05-03 07:59:59.999,0.0,0,0.0,0.0
2025-05-03 08:00:00,5.18,5.18,5.18,5.18,0.0,2025-05-03 08:59:59.999,0.0,0,0.0,0.0
2025-05-03 09:00:00,5.178,5.178,5.178,5.178,2.15,2025-05-03 09:59:59.999,11.1327,1,0.0,0.0
2025-05-03 10:00:00,5.145,5.145,5.145,5.145,2.78,2025-05-03 10:59:59.999,14.3031,1,0.0,0.0
2025-05-03 11:00:00,5.134,5.134,5.119,5.119,22.66,2025-05-03 11:59:59.999,116.15399,3,9.86,50.62124
2025-05-03 12:00:00,5.174,5.174,5.174,5.174,3.23,2025-05-03 12:59:59.999,16.71202,1,0.0,0.0
2025-05-03 13:00:00,5.178,5.178,5.176,5.176,144.64,2025-05-03 13:59:59.999,748.77288,2,0.0,0.0
2025-05-03 14:00:00,5.176,5.176,5.176,5.176,0.0,2025-05-03 14:59:59.999,0.0,0,0.0,0.0
2025-05-03 15:00:00,5.176,5.176,5.176,5.176,0.0,2025-05-03 15:59:59.999,0.0,0,0.0,0.0
2025-05-03 16:00:00,5.171,5.171,5.098,5.098,146.95,2025-05-03 16:59:59.999,749.91617,6,85.73,437.47123
2025-05-03 17:00:00,5.091,5.091,5.042,5.061,46.37,2025-05-03 17:59:59.999,234.79343,9,7.53,38.0265
2025-05-03 18:00:00,5.102,5.102,5.102,5.102,4.52,2025-05-03 18:59:59.999,23.06104,1,4.52,23.06104
2025-05-03 19:00:00,5.102,5.102,5.102,5.102,0.0,2025-05-03 19:59:59.999,0.0,0,0.0,0.0
2025-05-03 20:00:00,5.102,5.102,5.102,5.102,0.0,2025-05-03 20:59:59.999,0.0,0,0.0,0.0
2025-05-03 21:00:00,5.155,5.157,5.155,5.157,7.03,2025-05-03 21:59:59.999,36.24601,2,7.03,36.24601
2025-05-03 22:00:00,5.157,5.157,5.157,5.157,0.0,2025-05-03 22:59:59.999,0.0,0,0.0,0.0
2025-05-03 23:00:00,5.098,5.098,5.098,5.098,7.33,2025-05-03 23:59:59.999,37.36834,1,0.0,0.0
2025-05-04 00:00:00,5.098,5.098,5.098,5.098,0.0,2025-05-04 00:59:59.999,0.0,0,0.0,0.0
2025-05-04 01:00:00,5.098,5.098,5.098,5.098,0.0,2025-05-04 01:59:59.999,0.0,0,0.0,0.0
2025-05-04 02:00:00,5.098,5.098,5.098,5.098,0.0,2025-05-04 02:59:59.999,0.0,0,0.0,0.0
2025-05-04 03:00:00,5.098,5.098,5.098,5.098,0.0,2025-05-04 03:59:59.999,0.0,0,0.0,0.0
